id,left,top,right,bottom,row_index,col_index,LST20_mean,LST25_mean,dLST_mean,dNDBI_mean,SAVI20_mea,SAVI25_mea,dSAVI,DEM_mean
1873,940592.4194,1693699.8,940692.4194,1693599.8,24,12,1.75049299,-2.891237289,-4.64173013,0.021591549,0.588009247,0.521182369,-0.066826878,42.35
1874,940592.4194,1693599.8,940692.4194,1693499.8,25,12,2.803304173,-2.757886976,-5.561191142,0.183808929,0.653276267,0.214556126,-0.438720141,40.05
1875,940592.4194,1693499.8,940692.4194,1693399.8,26,12,3.593220711,-1.916873723,-5.510094404,0.103239353,0.384000141,0.278580473,-0.105419667,42.4
1888,940592.4194,1692199.8,940692.4194,1692099.8,39,12,9.985048016,4.67916431,-5.305883691,-0.002230895,0.270312105,0.293507289,0.023195185,26.125
1889,940592.4194,1692099.8,940692.4194,1691999.8,40,12,9.484167695,5.428187847,-4.055979759,0.00129478,0.267881391,0.228260027,-0.039621364,26.73333333
1937,940592.4194,1687299.8,940692.4194,1687199.8,88,12,2.029855072,1.290942078,-0.738912961,0.057360598,0.583643193,0.325316786,-0.258326406,16.825
1938,940592.4194,1687199.8,940692.4194,1687099.8,89,12,3.210421542,2.576455375,-0.63396614,0.092601624,0.611892297,0.39883976,-0.213052537,15.98333333
1939,940592.4194,1687099.8,940692.4194,1686999.8,90,12,3.636649986,4.40765959,0.77100963,0.069479678,0.595084043,0.362192937,-0.232891106,17.60833333
1940,940592.4194,1686999.8,940692.4194,1686899.8,91,12,5.741021127,6.307420105,0.56639891,0.043813878,0.449976721,0.223034356,-0.226942365,18.85
1941,940592.4194,1686899.8,940692.4194,1686799.8,92,12,7.132011678,7.156665537,0.024653761,0.009473075,0.133885666,0.108498156,-0.02538751,19.29166667
2027,940692.4194,1693699.8,940792.4194,1693599.8,24,13,1.129075047,-2.349205242,-3.4782803,0.191555391,0.633490614,0.176365164,-0.45712545,36.925
2028,940692.4194,1693599.8,940792.4194,1693499.8,25,13,2.039592338,-2.351380014,-4.390972328,0.18959462,0.709257818,0.37404345,-0.335214367,37.55
2029,940692.4194,1693499.8,940792.4194,1693399.8,26,13,3.159815848,-1.544993073,-4.70480895,0.096932091,0.450027851,0.33237927,-0.117648581,36.775
2042,940692.4194,1692199.8,940792.4194,1692099.8,39,13,9.288693368,4.793987438,-4.49470605,0.007556863,0.21759926,0.193163654,-0.024435606,25.975
2043,940692.4194,1692099.8,940792.4194,1691999.8,40,13,8.493581057,5.10794878,-3.385632237,0.010155316,0.236003778,0.213611729,-0.022392049,26.14634146
2091,940692.4194,1687299.8,940792.4194,1687199.8,88,13,1.486237295,0.97557041,-0.510666876,-0.037335812,0.548579751,0.590337565,0.041757813,15.26666667
2092,940692.4194,1687199.8,940792.4194,1687099.8,89,13,3.803680256,3.397571705,-0.406108576,0.009612148,0.499706169,0.460002999,-0.03970317,16.425
2093,940692.4194,1687099.8,940792.4194,1686999.8,90,13,6.361076434,6.520090977,0.159014505,0.017508487,0.212359573,0.13692074,-0.075438833,17.63414634
2094,940692.4194,1686999.8,940792.4194,1686899.8,91,13,6.393439531,7.211379468,0.817940002,-0.00763492,0.292814825,0.267282563,-0.025532262,18.30769231
2095,940692.4194,1686899.8,940792.4194,1686799.8,92,13,7.320804238,8.25672996,0.935925697,0.014832523,0.104483802,0.094700097,-0.009783705,18.31538462
